keyword,detected_language,language_group,semantic_bucket,confidence,english_gloss,decision_rule,reason
गेम एमुलेटर,hi,PRIMARY,Consider Keywords,1.0,game emulator,consider_relevant_terms,Relevant retro gaming or emulator terms
retro game emulator 64,en,SECONDARY,Style Keywords,1.0,,retro_style_nostalgia,Retro/classic style or nostalgia terms
retro game emulator,en,SECONDARY,Style Keywords,1.0,,retro_style_nostalgia,Retro/classic style or nostalgia terms
retro game emulator app,en,SECONDARY,Style Keywords,1.0,,retro_style_nostalgia,Retro/classic style or nostalgia terms
game emulator,en,SECONDARY,Consider Keywords,1.0,,consider_relevant_terms,Relevant retro gaming or emulator terms
retro game emulator android,en,SECONDARY,Style Keywords,1.0,,retro_style_nostalgia,Retro/classic style or nostalgia terms
retro game emulator offline,en,SECONDARY,Style Keywords,1.0,,retro_style_nostalgia,Retro/classic style or nostalgia terms
wretro games,en,SECONDARY,Style Keywords,1.0,,retro_style_nostalgia,Retro/classic style or nostalgia terms
game emulator android,en,SECONDARY,Consider Keywords,1.0,,consider_relevant_terms,Relevant retro gaming or emulator terms
retro game emulator console,en,SECONDARY,Style Keywords,1.0,,retro_style_nostalgia,Retro/classic style or nostalgia terms
गेमिंग कंसोल एमुलेटर,hi,PRIMARY,Consider Keywords,1.0,gaming console emulator,consider_relevant_terms,Relevant retro gaming or emulator terms
retro game emulator old games,en,SECONDARY,Style Keywords,1.0,,retro_style_nostalgia,Retro/classic style or nostalgia terms
जीबीसी एमुलेटर,hi,PRIMARY,Feature Keywords,1.0,gbc emulator,emulator_features_consoles,Other retro console or emulator feature terms
कंसोल एमुलेटर,hi,PRIMARY,Consider Keywords,1.0,console emulator,consider_relevant_terms,Relevant retro gaming or emulator terms
रिमोट वाला गेम,hi,PRIMARY,Consider Keywords,1.0,remote game,consider_relevant_terms,Relevant retro gaming or emulator terms
क्लासिक गेम बॉय एडवांस,hi,PRIMARY,Feature Keywords,1.0,classic game boy advance,emulator_features_consoles,Other retro console or emulator feature terms
गेम बॉय एडवांस गेम्स,hi,PRIMARY,Feature Keywords,1.0,game boy advance games,emulator_features_consoles,Other retro console or emulator feature terms
all in one emulator,en,SECONDARY,Consider Keywords,1.0,,consider_relevant_terms,Relevant retro gaming or emulator terms
retro games,en,SECONDARY,Style Keywords,1.0,,retro_style_nostalgia,Retro/classic style or nostalgia terms
जीबीए एमुलेटर सेटअप,hi,PRIMARY,Feature Keywords,1.0,gba emulator setup,emulator_features_consoles,Other retro console or emulator feature terms
गेम बॉय एडवांस,hi,PRIMARY,Feature Keywords,1.0,game boy advance,emulator_features_consoles,Other retro console or emulator feature terms
सबसे बेस्ट एमुलेटर,hi,PRIMARY,Consider Keywords,1.0,the best emulator,consider_relevant_terms,Relevant retro gaming or emulator terms
गेम बॉय एडवांस रोम,hi,PRIMARY,Feature Keywords,1.0,game boy advance rom,emulator_features_consoles,Other retro console or emulator feature terms
gba emulator retro game,en,SECONDARY,Feature Keywords,1.0,,emulator_features_consoles,Other retro console or emulator feature terms
retro gaming console,en,SECONDARY,Style Keywords,1.0,,retro_style_nostalgia,Retro/classic style or nostalgia terms
एमुलेटर जीबीए,hi,PRIMARY,Feature Keywords,1.0,emulator gba,emulator_features_consoles,Other retro console or emulator feature terms
जीबीए गेम लाइब्रेरी,hi,PRIMARY,Feature Keywords,1.0,gba game library,emulator_features_consoles,Other retro console or emulator feature terms
controller emulator,en,SECONDARY,Feature Keywords,1.0,,emulator_features_consoles,Other retro console or emulator feature terms
गेमबॉय एडवांस एमुलेटर,hi,PRIMARY,Feature Keywords,1.0,gameboy advance emulator,emulator_features_consoles,Other retro console or emulator feature terms
जीबीए एमुलेटर,hi,PRIMARY,Feature Keywords,1.0,gba emulator,emulator_features_consoles,Other retro console or emulator feature terms
gba emulator gameboy retro,en,SECONDARY,Feature Keywords,1.0,,emulator_features_consoles,Other retro console or emulator feature terms
emulador gba,en,SECONDARY,Feature Keywords,1.0,,emulator_features_consoles,Other retro console or emulator feature terms
retro emulator india,en,SECONDARY,Style Keywords,1.0,,retro_style_nostalgia,Retro/classic style or nostalgia terms
console gaming,en,SECONDARY,Consider Keywords,1.0,,consider_relevant_terms,Relevant retro gaming or emulator terms
nes game,en,SECONDARY,Feature Keywords,1.0,,emulator_features_consoles,Other retro console or emulator feature terms
gba emulator retro game offline,en,SECONDARY,Feature Keywords,1.0,,emulator_features_consoles,Other retro console or emulator feature terms
